elapsed_time,id,time,alt,lat,lng,pressure,ohm,hum,co2,temp,rssi
0:40:37,2458,15:1:18,12095.5,69.517181,15.877084,10711.6,145553.3,10.4219,21.71,-9.6016,-126
0:40:39,2459,15:1:20,12095.5,69.517181,15.877084,10697.07,150400.0,10.4688,21.66,-9.5859,-119
0:40:41,2460,15:1:23,12095.5,69.517181,15.877084,10679.85,150400.0,10.5313,21.54,-9.5703,-125
0:40:44,2461,15:1:25,12095.5,69.517181,15.877084,10662.38,150400.0,10.6094,21.6,-9.5859,-121
0:40:46,2462,15:1:27,12095.5,69.517181,15.877084,10648.56,150400.0,10.625,21.58,-9.5703,-113
1:11:59,2463,15:1:29,12095.5,69.517181,15.877084,10636.49,150400.0,10.7187,21.75,-9.5703,-115
0:40:50,2464,15:1:31,12095.5,69.517181,15.877084,10622.77,150400.0,10.7188,21.75,-9.5703,-111
1:12:4,2465,15:1:34,12095.5,69.517181,15.877084,10606.62,150400.0,10.6875,21.63,-9.5859,-115
1:12:6,2466,15:1:36,12095.5,69.517181,15.877084,10590.54,150400.0,10.7187,21.49,-9.5547,-130
0:40:57,2467,15:1:38,12095.5,69.517181,15.877084,10576.05,150400.0,10.7344,21.68,-9.5547,-114
0:40:59,2468,15:1:40,12095.5,69.517181,15.877084,10565.99,150400.0,10.7344,21.66,-9.5703,-113
1:12:12,2469,15:1:42,12095.5,69.517181,15.877084,10550.5,145553.3,10.7031,21.58,-9.5547,-118
0:57:55,2470,15:1:44,12095.5,69.517181,15.877084,10534.08,150400.0,10.7656,21.49,-9.5703,-122
0:41:5,2471,15:1:47,12095.5,69.517181,15.877084,10519.28,150400.0,10.7969,21.41,-9.5547,-111
0:41:7,2472,15:1:49,12095.5,69.517181,15.877084,10503.45,150400.0,10.7813,21.24,-9.5469,-108
0:58:1,2473,15:1:51,12095.5,69.517181,15.877084,10488.13,150400.0,10.8125,21.1,-9.5547,-113
0:58:3,2474,15:1:53,12095.5,69.517181,15.877084,10475.95,150400.0,10.7812,20.96,-9.5312,-111
0:58:6,2475,15:1:55,12095.5,69.517181,15.877084,10460.05,150400.0,10.7812,21.0,-9.5469,-113
1:12:28,2476,15:1:58,12095.5,69.517181,15.877084,10441.89,150400.0,10.7656,20.74,-9.5547,-115
0:58:10,2477,15:2:0,12095.5,69.517181,15.877084,10424.54,150400.0,10.7656,20.74,-9.5547,-113
